# Table from https://en.wikipedia.org/wiki/List_of_cities_in_Germany_by_population
2015 rank,City,State,2015 Estimate,2011 Census,Change,2015 land area,2015 population density,Location
33,Freiburg im Breisgau,Baden-Württemberg,"226,393","209,628",+8.00%,153.06 km259.10 sq mi,"1,479/km23,830/sq mi",47°59′N 7°51′E﻿ / ﻿47.983°N 7.850°E
34,Krefeld,North Rhine-Westphalia,"225,144","222,247",+1.30%,137.77 km253.19 sq mi,"1,634/km24,230/sq mi",51°20′N 6°34′E﻿ / ﻿51.333°N 6.567°E
35,Lübeck,Schleswig-Holstein,"216,253","210,305",+2.83%,214.21 km282.71 sq mi,"1,010/km22,600/sq mi",53°52′N 10°41′E﻿ / ﻿53.867°N 10.683°E
36,Oberhausen,North Rhine-Westphalia,"210,934","210,216",+0.34%,77.09 km229.76 sq mi,"2,736/km27,090/sq mi",51°28′N 6°51′E﻿ / ﻿51.467°N 6.850°E
37,Erfurt,Thuringia,"210,118","200,868",+4.61%,269.91 km2104.21 sq mi,"778/km22,020/sq mi",50°59′N 11°2′E﻿ / ﻿50.983°N 11.033°E
38,Mainz,Rhineland-Palatinate,"209,779","200,344",+4.71%,97.74 km237.74 sq mi,"2,146/km25,560/sq mi",50°0′N 8°16′E﻿ / ﻿50.000°N 8.267°E
39,Rostock,Mecklenburg-Vorpommern,"206,011","200,265",+2.87%,181.26 km269.98 sq mi,"1,137/km22,940/sq mi",54°5′N 12°8′E﻿ / ﻿54.083°N 12.133°E
40,Kassel,Hesse,"197,984","190,765",+3.78%,106.78 km241.23 sq mi,"1,854/km24,800/sq mi",51°19′N 9°30′E﻿ / ﻿51.317°N 9.500°E
41,Hagen,North Rhine-Westphalia,"189,044","187,944",+0.59%,160.45 km261.95 sq mi,"1,178/km23,050/sq mi",51°22′N 7°29′E﻿ / ﻿51.367°N 7.483°E
42,Hamm,North Rhine-Westphalia,"179,397","176,037",+1.91%,226.43 km287.43 sq mi,"792/km22,050/sq mi",51°41′N 7°49′E﻿ / ﻿51.683°N 7.817°E
