# Table from https://simple.wikipedia.org/wiki/List_of_cities_in_France
Commune,Department,Region,Pop. 2013census,Rank
Le Port,Réunion,Réunion,"35,881",207
Sainte-Geneviève-des-Bois,Essonne,Île-de-France,"35,868",208
Échirolles,Isère,Auvergne-Rhône-Alpes,"35,684",209
Roanne,Loire,Auvergne-Rhône-Alpes,"35,507",210
Villepinte,Seine-Saint-Denis,Île-de-France,"35,329",211
Saint-Chamond,Loire,Auvergne-Rhône-Alpes,"35,308",212
Conflans-Sainte-Honorine,Yvelines,Île-de-France,"35,213",213
Auxerre,Yonne,Bourgogne-Franche-Comté,"34,869",214
Nevers,Nièvre,Bourgogne-Franche-Comté,"34,841",215
Neuilly-sur-Marne,Seine-Saint-Denis,Île-de-France,"34,756",216
La Ciotat,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"34,655",217
Tremblay-en-France,Seine-Saint-Denis,Île-de-France,"34,614",218
Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,"34,610",219
Vitrolles,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"34,493",220
Haguenau,Bas-Rhin,Grand Est,"34,419",221
Six-Fours-les-Plages,Var,Provence-Alpes-Côte d'Azur,"34,387",222
Agen,Lot-et-Garonne,Nouvelle-Aquitaine,"34,344",223
Creil,Oise,Hauts-de-France,"34,262",224
Annemasse,Haute-Savoie,Auvergne-Rhône-Alpes,"34,261",225
Saint-Raphaël,Var,Provence-Alpes-Côte d'Azur,"34,005",226
Marignane,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"33,986",227
Romans-sur-Isère,Drôme,Auvergne-Rhône-Alpes,"33,632",228
Montigny-le-Bretonneux,Yvelines,Île-de-France,"33,625",229
Le Perreux-sur-Marne,Val-de-Marne,Île-de-France,"33,480",230
Franconville,Val-d'Oise,Île-de-France,"33,375",231
Mâcon,Saône-et-Loire,Bourgogne-Franche-Comté,"33,350",232
Saint-Leu,Réunion,Réunion,"33,154",233
Cambrai,Nord,Hauts-de-France,"32,852",234
Châtenay-Malabry,Hauts-de-Seine,Île-de-France,"32,623",235
Sainte-Marie,Réunion,Réunion,"32,605",236
Villeneuve-Saint-Georges,Val-de-Marne,Île-de-France,"32,575",237
Houilles,Yvelines,Île-de-France,"32,287",238
Épinal,Vosges,Grand Est,"32,188",239
Lens,Pas-de-Calais,Hauts-de-France,"31,647",240
Liévin,Pas-de-Calais,Hauts-de-France,"31,517",241
Les Mureaux,Yvelines,Île-de-France,"31,487",242
Schiltigheim,Bas-Rhin,Grand Est,"31,450",243
La Possession,Réunion,Réunion,"31,439",244
Meyzieu,Rhône,Auvergne-Rhône-Alpes,"31,438",245
Dreux,Eure-et-Loir,Centre-Val de Loire,"31,373",246
Nogent-sur-Marne,Val-de-Marne,Île-de-France,"31,367",247
Plaisir,Yvelines,Île-de-France,"31,342",248
Mont-de-Marsan,Landes,Nouvelle-Aquitaine,"31,334",249
Palaiseau,Essonne,Île-de-France,"31,264",250
Châtellerault,Vienne,Nouvelle-Aquitaine,"31,262",251
Goussainville,Val-d'Oise,Île-de-France,"31,212",252
L'Haÿ-les-Roses,Val-de-Marne,Île-de-France,"31,201",253
Viry-Châtillon,Essonne,Île-de-France,"31,132",254
Vigneux-sur-Seine,Essonne,Île-de-France,"31,126",255
Chatou,Yvelines,Île-de-France,"30,809",256
Trappes,Yvelines,Île-de-France,"30,979",257
Clichy-sous-Bois,Seine-Saint-Denis,Île-de-France,"30,725",258
Rillieux-la-Pape,Rhône,Auvergne-Rhône-Alpes,"30,645",259
Villenave-d'Ornon,Gironde,Nouvelle-Aquitaine,"30,633",260
Maubeuge,Nord,Hauts-de-France,"30,567",261
Charenton-le-Pont,Val-de-Marne,Île-de-France,"30,408",262
Malakoff,Hauts-de-Seine,Île-de-France,"30,304",263
Matoury,Guyane,French Guiana,"30,244",264
Dieppe,Seine-Maritime,Normandy,"30,214",265
Athis-Mons,Essonne,Île-de-France,"30,094",266
Savigny-le-Temple,Seine-et-Marne,Île-de-France,"30,068",267
Périgueux,Dordogne,Nouvelle-Aquitaine,"30,036",268
Baie-Mahault,Guadeloupe,Guadeloupe,"30,015",269
Vandoeuvre-lès-Nancy,Meurthe-et-Moselle,Grand Est,"29,836",270
Pontoise,Val-d'Oise,Île-de-France,"29,826",271
Aix-les-Bains,Savoie,Auvergne-Rhône-Alpes,"29,580",272
Cachan,Val-de-Marne,Île-de-France,"29,462",273
Vienne,Isère,Auvergne-Rhône-Alpes,"29,325",274
Thiais,Val-de-Marne,Île-de-France,"29,280",275
Orange,Vaucluse,Provence-Alpes-Côte d'Azur,"29,193",276
Saint-Médard-en-Jalles,Gironde,Nouvelle-Aquitaine,"29,178",277
Villemomble,Seine-Saint-Denis,Île-de-France,"29,165",278
Saint-Cloud,Hauts-de-Seine,Île-de-France,"29,109",279
Saint-Laurent-du-Var,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"28,991",280
Yerres,Essonne,Île-de-France,"28,797",281
Saint-Étienne-du-Rouvray,Seine-Maritime,Normandy,"28,738",282
Sotteville-lès-Rouen,Seine-Maritime,Normandy,"28,704",283
Draveil,Essonne,Île-de-France,"28,687",284
Le Chesnay,Yvelines,Île-de-France,"28,640",285
Bois-Colombes,Hauts-de-Seine,Île-de-France,"28,561",286
Le Plessis-Robinson,Hauts-de-Seine,Île-de-France,"28,500",287
La Garenne-Colombes,Hauts-de-Seine,Île-de-France,"28,498",288
Lambersart,Nord,Hauts-de-France,"28,491",289
Soissons,Aisne,Hauts-de-France,"28,472",290
Pierrefitte-sur-Seine,Seine-Saint-Denis,Île-de-France,"28,459",291
Carpentras,Vaucluse,Provence-Alpes-Côte d'Azur,"28,422",292
Villiers-sur-Marne,Val-de-Marne,Île-de-France,"28,190",293
Vanves,Hauts-de-Seine,Île-de-France,"28,170",294
Menton,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"28,100",295
Bergerac,Dordogne,Nouvelle-Aquitaine,"28,063",296
Ermont,Val-d'Oise,Île-de-France,"28,021",297
Bezons,Val-d'Oise,Île-de-France,"27,855",298
Grigny,Essonne,Île-de-France,"27,716",299
Guyancourt,Yvelines,Île-de-France,"27,546",300
Saumur,Maine-et-Loire,Pays de la Loire,"27,413",301
Herblay,Val-d'Oise,Île-de-France,"27,378",302
Ris-Orangis,Essonne,Île-de-France,"27,312",303
Villiers-le-Bel,Val-d'Oise,Île-de-France,"27,312",304
Bourgoin-Jallieu,Isère,Auvergne-Rhône-Alpes,"27,163",305
Vierzon,Cher,Centre-Val de Loire,"27,113",306
Le Gosier,Guadeloupe,Guadeloupe,"26,900",307
Décines-Charpieu,Rhône,Auvergne-Rhône-Alpes,"26,826",308
Hénin-Beaumont,Pas-de-Calais,Hauts-de-France,"26,748",309
Fresnes,Val-de-Marne,Île-de-France,"26,645",310
Aurillac,Cantal,Auvergne-Rhône-Alpes,"26,572",311
Sannois,Val-d'Oise,Île-de-France,"26,557",312
Vallauris,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"26,465",313
Illkirch-Graffenstaden,Bas-Rhin,Grand Est,"26,455",314
Alençon,Orne,Normandy,"26,350",315
Élancourt,Yvelines,Île-de-France,"26,290",316
Tournefeuille,Haute-Garonne,Occitanie,"26,206",317
Bègles,Gironde,Nouvelle-Aquitaine,"26,104",318
Gonesse,Val-d'Oise,Île-de-France,"26,075",319
Oullins,Rhône,Auvergne-Rhône-Alpes,"26,072",320
Brunoy,Essonne,Île-de-France,"26,066",321
Taverny,Val-d'Oise,Île-de-France,"25,998",322
Armentières,Nord,Hauts-de-France,"25,978",323
Montfermeil,Seine-Saint-Denis,Île-de-France,"25,945",324
Rambouillet,Yvelines,Île-de-France,"25,926",325
Villeparisis,Seine-et-Marne,Île-de-France,"25,889",326
Le Kremlin-Bicêtre,Val-de-Marne,Île-de-France,"25,863",327
Sucy-en-Brie,Val-de-Marne,Île-de-France,"25,849",328
Kourou,Guyane,French Guiana,"25,793",329
Montbéliard,Doubs,Bourgogne-Franche-Comté,"25,697",330
Romainville,Seine-Saint-Denis,Île-de-France,"25,657",331
Cavaillon,Vaucluse,Provence-Alpes-Côte d'Azur,"25,636",332
Saint-Dizier,Haute-Marne,Grand Est,"25,626",333
Brétigny-sur-Orge,Essonne,Île-de-France,"25,624",334
Saint-Sébastien-sur-Loire,Loire-Atlantique,Pays de la Loire,"25,610",335
Saintes,Charente-Maritime,Nouvelle-Aquitaine,"25,601",336
La Teste-de-Buch,Gironde,Nouvelle-Aquitaine,"25,587",337
Villeneuve-la-Garenne,Hauts-de-Seine,Île-de-France,"25,466",338
Béthune,Pas-de-Calais,Hauts-de-France,"25,463",339
Bussy-Saint-Georges,Seine-et-Marne,Île-de-France,"25,419",340
Vichy,Allier,Auvergne-Rhône-Alpes,"25,325",341
La Garde,Var,Provence-Alpes-Côte d'Azur,"25,298",342
Agde,Hérault,Occitanie,"25,253",343
Laon,Aisne,Hauts-de-France,"25,219",344
Sens,Yonne,Bourgogne-Franche-Comté,"25,018",345
Lunel,Hérault,Occitanie,"25,006",346
Miramas,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,"25,002",347
